17,Hilliard,Keyworth,hkeyworthg@jigsy.com,56.82,1119759d-c243-475d-a121-ef15ac4a0844,Vest,2019-02-24
18,Cassey,Peasegood,cpeasegoodh@mashable.com,49.05,b36128b0-5b32-4d6a-b63a-642d32215474,Sneakers,2019-06-23
19,Granger,Ludwikiewicz,gludwikiewiczi@ftc.gov,65.26,d0d74724-5e9a-4ba3-813a-f7a24d25f0f3,Stretch Pants,2019-01-12
20,Adriaens,Thomsson,athomssonj@imageshack.us,85.86,077d4892-024c-4df3-8e3b-a6a894f95896,Stretch Pants,2019-12-14
21,Kassey,McKelvey,kmckelveyk@google.pl,77.11,f0f8f0ac-893b-4ba9-b18f-c85e8693141f,Vest,2019-05-20
22,Herc,Rodolphe,hrodolphel@archive.org,26.39,602d33e1-b01b-41da-930b-e1ecbf7d4034,Jeans,2019-03-03
23,Mara,Greenhalgh,mgreenhalghm@yolasite.com,91.20,3e920fb8-8e7c-4fd6-b2c1-ee97923b185c,Jeans,2019-02-20
24,Ermentrude,Colnet,ecolnetn@t.co,57.66,ee820cc7-4e66-4374-a7b9-5b7f1252b662,Sneakers,2019-10-31
25,Harmonia,Firpo,hfirpoo@patch.com,90.40,c3d6c47c-8247-4ae9-9de3-9d70bfc1dc58,Vest,2019-11-28
26,Sholom,Littler,slittlerp@microsoft.com,87.36,86b7a5f8-c9fa-4292-93ae-64e3b8d0f061,Leggings,2019-07-09
27,Katharina,Alyutin,kalyutinq@gov.uk,13.37,6f9e6edd-afb9-424f-9839-a6a29f3fadd4,Tank Top,2019-10-31
28,Letisha,Malin,lmalinr@uol.com.br,10.24,01c333bf-fbee-407f-a9ff-14f5e1ca5a81,Ski Coat,2019-04-21
29,Layney,Wotton,lwottons@yellowpages.com,74.72,8ab7bd1b-0d10-418f-8922-a943ba657cb0,Sneakers,2019-03-24
30,Anestassia,Rickarsey,arickarseyt@nbcnews.com,93.78,e077607a-97cd-4fdd-8933-715c9efa152c,V-Neck Pullover,2019-10-17
31,Cory,Trebble,ctrebbleu@godaddy.com,5.38,50b05c1a-1d23-40c3-a43c-11a18c02530f,V-Neck Pullover,2019-10-16
32,Philis,Blake,pblakev@aol.com,64.31,4e614c2a-cb4c-4d33-8284-1121447714d7,Leggings,2019-12-24
33,Jemima,Mowles,jmowlesw@jugem.jp,71.17,f9daad5c-87f8-4086-8ed8-da0fe0e4cf5d,Polo Shirt,2019-06-23
34,Dorice,Edlyne,dedlynex@independent.co.uk,59.39,d5ce9aa9-cb5a-4700-941a-ac1e0863ffec,Leggings,2019-02-09
35,Sonya,Dulson,sdulsony@photobucket.com,86.31,877e9024-9d77-4017-9be5-f7aaad2953c0,Sweater,2019-06-26
36,Menard,Doleman,mdolemanz@blogspot.com,49.76,a5a236a8-4db6-43fb-964e-5352030f8de0,V-Neck Pullover,2019-03-18
37,Melly,Brydone,mbrydone10@kickstarter.com,31.31,346ec773-4073-46fd-b24c-badd96666510,Stretch Pants,2019-05-13
38,Rani,Dollard,rdollard11@paypal.com,92.13,660cf7ad-a7bf-4b29-9ba3-881c8aa80cd5,Polo Shirt,2019-07-25
39,Susannah,Basill,sbasill12@com.com,62.33,09fb37dd-e35e-4943-a410-43ea313a1f0f,V-Neck Pullover,2019-10-27
40,Gallard,Freeman,gfreeman13@hubpages.com,5.51,7ceba901-66cf-47f3-bd95-6c3fc10e46e5,Vest,2019-04-07
41,Bria,Seemmonds,bseemmonds14@altervista.org,66.72,4163b51a-f689-4bb0-a8e8-37427aa479d8,Fleece Jacket,2020-01-03
42,Blanche,Fursse,bfursse15@irs.gov,44.17,453d9184-bd97-48d8-9e1a-1fb826b9e80a,Ski Coat,2019-06-24
43,Eliza,Breitling,ebreitling16@gov.uk,61.54,f9bc5cb6-0917-47e8-bf63-01468559303a,Vest,2019-11-24
44,Edwin,Birkwood,ebirkwood17@eventbrite.com,50.08,caf95add-b583-4a50-b4ba-8b51a71522fb,Leggings,2019-01-06
45,Antin,MacLeod,amacleod18@nbcnews.com,45.89,c93b9f74-0329-4207-8a75-8c8cc7a628bd,Fleece Jacket,2019-11-13
46,Allis,Gee,agee19@state.tx.us,28.73,16ba94e6-d691-46cb-bb33-44405c61c41b,Vest,2019-07-25
47,Brandy,Yeoman,byeoman1a@imageshack.us,96.57,1933bedd-c304-459a-9781-32e6e22898aa,Polo Shirt,2019-06-02
48,Legra,Ioannou,lioannou1b@omniture.com,21.71,de8ceb43-2e36-4f3f-801f-61cdb8b3b6e8,Fleece Jacket,2019-10-18
49,Masha,Jorge,mjorge1c@e-recht24.de,82.54,e03cd262-c64d-4b7e-93d5-c6aef0fd2349,V-Neck Pullover,2019-07-01
50,Gris,Abdey,gabdey1d@springer.com,45.33,1ca6b53f-4700-4b51-b22b-d37d78c56610,Vest,2019-07-14
51,Brandon,Feaviour,bfeaviour1e@wordpress.com,18.93,fe3c86c8-f07a-4b95-b769-e15b3482bf77,Stretch Pants,2019-04-24
52,Nani,Sackur,nsackur1f@free.fr,41.03,fb854971-6fd1-481a-924a-39bae36195b6,Leggings,2019-01-22
